86,-9.144764004,38.70692219,Pc Ribeira Nova,Papel e Cartão,1100
87,-9.145088222,38.70790123,Pc São Paulo,Lixos,480
88,-9.144888868,38.70762372,Pc São Paulo,Lixos,800
89,-9.144888868,38.70762372,Pc São Paulo,Papel e Cartão,140
90,-9.144475184,38.70763631,Pc São Paulo,Lixos,480
91,-9.143298848,38.70655655,Pc Duque da Terceira,Lixos,480
92,-9.143298848,38.70655655,Pc Duque da Terceira,Papel e Cartão,240
93,-9.143404712,38.70672678,Pc Duque da Terceira,Lixos,980
94,-9.143404712,38.70672678,Pc Duque da Terceira,Papel e Cartão,280
95,-9.143611743,38.706734,Pc Duque da Terceira,Lixos,1300
96,-9.143759014,38.70657959,Pc Duque da Terceira,Lixos,560
97,-9.143759014,38.70657959,Pc Duque da Terceira,Papel e Cartão,240
98,-9.142005028,38.70692805,Lg Corpo Santo,Lixos,140
99,-9.1420101,38.70728832,Lg Corpo Santo,Lixos,2260
100,-9.14208135,38.70744985,Lg Corpo Santo,Lixos,1040
101,-9.14208135,38.70744985,Lg Corpo Santo,Papel e Cartão,240
102,-9.149863686,38.70903075,Bc Francisco André,Lixos,140
103,-9.14534815,38.7075837,Tv de São Paulo,Lixos,1040
104,-9.14534815,38.7075837,Tv de São Paulo,Papel e Cartão,140
105,-9.1443768,38.70636706,Av 24 de Julho,Lixos,470
106,-9.144734149,38.70643602,Av 24 de Julho,Lixos,140
