0,Lixos,1860
0,Papel e Cartão,1530
1,Lixos,2760
1,Papel e Cartão,460
2,Lixos,1320
2,Papel e Cartão,380
3,Lixos,2480
4,Lixos,400
5,Lixos,1920
5,Papel e Cartão,240
6,Lixos,2760
6,Papel e Cartão,240
7,Lixos,3560
8,Lixos,6940
9,Lixos,3020
10,Lixos,1280
11,Lixos,240
12,Lixos,3500
13,Lixos,1410
14,Lixos,850
15,Lixos,1160
16,Lixos,5190
17,Lixos,490
18,Lixos,140
19,Lixos,2040
20,Lixos,1110
21,Lixos,1200
22,Lixos,1330
23,Lixos,480
23,Vidro,240
24,Lixos,1440
25,Lixos,2060
26,Lixos,5660
27,Lixos,1920
28,Lixos,5720
29,Lixos,180
30,Lixos,1130
30,Papel e Cartão,370
31,Lixos,280
32,Lixos,4920
33,Lixos,1200
34,Lixos,4440
35,Lixos,7730
36,Lixos,960
37,Lixos,1440
37,Embalagens,240
38,Lixos,520
38,Papel e Cartão,280
39,Lixos,590
39,Papel e Cartão,240
40,Lixos,1110
40,Papel e Cartão,1490
41,Lixos,3080
42,Lixos,2720
43,Lixos,760
43,Papel e Cartão,140
44,Lixos,1500
45,Lixos,2900
45,Papel e Cartão,140
46,Lixos,5540
46,Papel e Cartão,480
47,Lixos,2000
48,Lixos,740
49,Lixos,760
50,Lixos,3460
51,Lixos,2720
51,Papel e Cartão,380
52,Lixos,5560
52,Papel e Cartão,480
53,Lixos,2640
54,Lixos,3980
54,Papel e Cartão,280
55,Lixos,1600
56,Lixos,480
57,Lixos,1280
58,Lixos,940
59,Lixos,1680
60,Lixos,240
61,Lixos,760
62,Lixos,560
62,Papel e Cartão,140
63,Lixos,180
64,Lixos,240
65,Lixos,230
66,Lixos,180
67,Lixos,480
67,Papel e Cartão,1100
68,Lixos,480
69,Lixos,800
69,Papel e Cartão,140
70,Lixos,480
71,Lixos,480
71,Papel e Cartão,240
72,Lixos,980
72,Papel e Cartão,280
73,Lixos,1300
74,Lixos,560
74,Papel e Cartão,240
75,Lixos,140
76,Lixos,2260
77,Lixos,1040
77,Papel e Cartão,240
78,Lixos,140
79,Lixos,1040
79,Papel e Cartão,140
80,Lixos,470
81,Lixos,140
